MY,Model,Trim,Retail_Bonus_Cash,Competitive_Owner_Coupon,HMF_Low_APR_36_48_60_72,HMF_Standard_APR_36_48_60_72,HMF_Bonus_Cash
2025,ELANTRA,SE,,,2.99 / 2.99 / 3.49 / 4.49,5.49 / 5.49 / 5.49 / 5.99,$750 
2025,ELANTRA,Sport,,,2.99 / 2.99 / 3.49 / 4.49,5.49 / 5.49 / 5.49 / 5.99,$750 
2025,ELANTRA,Convenience,,,2.99 / 2.99 / 3.49 / 4.49,5.49 / 5.49 / 5.49 / 5.99,$750 
2025,ELANTRA,Line,"$1,000 ",,2.99 / 2.99 / 3.49 / 4.49,5.49 / 5.49 / 5.49 / 5.99,$750 
2025,ELANTRA HEV,HEV Blue,,,1.99 / 1.99 / 2.49 / 3.49,5.49 / 5.49 / 5.49 / 5.99,"$2,500 "
2025,ELANTRA N,N,,,5.89 / 5.89 / 5.89 / 6.69,,
2025,IONIQ,5N N ,,,1.99 / 1.99 / 1.99 / 2.99,,
2025,IONIQ,5 All,"$11,000 ",,0.00 / 0.00 / 0.00 / 0.00,5.49 / 5.49 / 5.49 / 5.99,"$7,000 "
2025,IONIQ,6 All,"$7,500 ",1000,0.00 / 0.00 / 1.99 / 3.99,5.49 / 5.49 / 5.49 / 5.99,"$7,000 "
2025,SONATA ICE,SE,,,1.99 / 1.99 / 1.99 / 3.99,5.49 / 5.49 / 5.49 / 5.99,"$1,750 "
2025,SONATA ICE,SEL,,,1.99 / 1.99 / 1.99 / 3.99,5.49 / 5.49 / 5.49 / 5.99,"$1,750 "
2025,SONATA HEV,HEV SEL,,,1.99 / 1.99 / 1.99 / 3.99,5.49 / 5.49 / 5.49 / 5.99,"$2,000 "
2025,VENUE,SE,,,5.49 / 5.49 / 5.49 / 5.99,5.49 / 5.49 / 5.49 / 5.99,$250 
2025,TUCSON,SE,,,0.00 / 0.00 / 0.00 / 3.99,5.49 / 5.49 / 5.49 / 5.99,"$3,000 "
2025,TUCSON,SEL,,,0.00 / 0.00 / 0.00 / 3.99,5.49 / 5.49 / 5.49 / 5.99,"$3,000 "
2025,TUCSON,XRT/Limited,,,0.00 / 0.00 / 0.00 / 3.99,5.49 / 5.49 / 5.49 / 5.99,"$3,000 "
2025,TUCSON HEV,Blue,,,0.00 / 0.00 / 0.00 / 3.99,5.49 / 5.49 / 5.49 / 5.99,"$3,250 "
2025,TUCSON PHEV,SEL,,,4.99 / 4.99 / 4.99 / 5.49,5.49 / 5.49 / 5.49 / 5.99,$250 
2025,SANTA CRUZ,SE,,,3.99 / 3.99 / 4.49 / 4.99,5.49 / 5.49 / 5.49 / 5.99,$250 
2025,SANTA CRUZ,SEL,,,3.99 / 3.99 / 4.49 / 4.99,5.49 / 5.49 / 5.49 / 5.99,$750 
2025,SANTA CRUZ,XRT/Limited,,,3.99 / 3.99 / 4.49 / 4.99,5.49 / 5.49 / 5.49 / 5.99,"$1,250 "
2025,SANTA FE,SE,,,0.00 / 0.00 / 0.00 / 3.99,5.49 / 5.49 / 5.49 / 5.99,"$3,000 "
2025,SANTA FE,SEL,,,0.00 / 0.00 / 0.00 / 3.99,5.49 / 5.49 / 5.49 / 5.99,"$3,000 "
