MY,Model,Trim,Max Discount (Advertisable),Retail Bonus Cash,Consumer Competitive Coupon,Low APR 36,Low APR 48,Low APR 60,Low APR 72,Low APR HMF Bonus Cash,Dealer Choice 36,Dealer Choice 48,Dealer Choice 60,Dealer Choice 72,Dealer Choice HMF Bonus Cash,STD Rate Bonus Cash,Featured Lease (Nat'l Featured Lease),Notes / See HMF Bulletin
2025,ELANTRA ICE,SE,,,,2.99,2.99,3.49,4.49,0,5.99,5.99,5.99,6.59,$750,,,
2025,ELANTRA ICE,SEL Sport,,,,2.99,2.99,3.49,4.49,0,5.99,5.99,5.99,6.59,$750,,,
2025,ELANTRA ICE,SEL Convenience,,,,2.99,2.99,3.49,4.49,0,5.99,5.99,5.99,6.59,$750,,,
2025,ELANTRA ICE,Limited/N-Line,,,,2.99,2.99,3.49,4.49,0,5.99,5.99,5.99,6.59,$750,,,
2025,ELANTRA HEV,Blue,,,,1.99,1.99,2.49,3.49,"$1,000",5.99,5.99,5.99,6.59,"$2,500",,,
2025,ELANTRA N,N,,,,6.29,6.29,6.29,6.99,0,,nan,nan,nan,0,,,
2025,IONIQ 5N,N,,,,1.99,1.99,1.99,2.99,0,,nan,nan,nan,0,,,
2025,IONIQ 5,All,,,,0,0,0,0,0,5.99,5.99,5.99,6.59,"$7,000",,,
2025,IONIQ 6,All,,,,0,0,1.99,3.99,0,5.99,5.99,5.99,6.59,"$7,000",,,
2025,SONATA ICE,SE,,,,1.99,1.99,1.99,3.99,0,5.99,5.99,5.99,6.59,"$1,750",,,
2025,SONATA ICE,SEL,,,,1.99,1.99,1.99,3.99,0,5.99,5.99,5.99,6.59,"$1,750",,,
2025,SONATA HEV,SEL,,,,1.99,1.99,1.99,3.99,0,5.99,5.99,5.99,6.59,"$2,000",,,
2025,VENUE,SE,,,,5.49,5.49,5.49,5.99,0,5.99,5.99,5.99,6.59,$250,,,
2025,TUCSON ICE,SE,,,,1.99,1.99,1.99,3.99,0,5.99,5.99,5.99,6.59,"$1,750",,,
2025,TUCSON ICE,SEL,,,,1.99,1.99,1.99,3.99,0,5.99,5.99,5.99,6.59,"$1,750",,,
2025,TUCSON ICE,XRT/Limited,,,,1.99,1.99,1.99,3.99,0,5.99,5.99,5.99,6.59,"$1,750",,,
2025,TUCSON HEV,Blue,,,,1.99,1.99,1.99,3.99,0,5.99,5.99,5.99,6.59,"$2,000",,,
2025,TUCSON PHEV,SEL,,,,4.99,4.99,4.99,5.49,0,5.99,5.99,5.99,6.59,$500,,,
2025,SANTA CRUZ,SE,,,,3.99,3.99,4.49,4.99,0,5.99,5.99,5.99,6.59,$500,,,
2025,SANTA CRUZ,SEL,,,,3.99,3.99,4.49,4.99,0,5.99,5.99,5.99,6.59,"$1,000",,,
2025,SANTA CRUZ,XRT/Limited,,,,3.99,3.99,4.49,4.99,0,5.99,5.99,5.99,6.59,"$1,500",,,
2025,SANTA FE ICE,SE,,,,0,0,2.99,3.99,0,5.99,5.99,5.99,6.59,"$1,750",,,
2025,SANTA FE ICE,SEL,,,,0,0,2.99,3.99,0,5.99,5.99,5.99,6.59,"$1,750",,,
2025,SANTA FE ICE,XRT,,,,0,0,2.99,3.99,0,5.99,5.99,5.99,6.59,"$2,750",,,
2025,SANTA FE ICE,Limited,,,,0,0,2.99,3.99,0,5.99,5.99,5.99,6.59,"$2,750",,,
2025,SANTA FE ICE,Calligraphy,,,,0,0,2.99,3.99,0,5.99,5.99,5.99,6.59,"$2,750",,,
2025,SANTA FE HEV,SEL,,,,0,0,2.99,3.99,0,5.99,5.99,5.99,6.59,"$2,750",,,
2025,SANTA FE HEV,Limited,,,,0,0,2.99,3.99,0,5.99,5.99,5.99,6.59,"$2,750",,,
2025,SANTA FE HEV,Calligraphy,,,,0,0,2.99,3.99,0,5.99,5.99,5.99,6.59,"$2,750",,,
2025,PALISADE,SE,,,,1.99,1.99,2.99,3.99,0,5.99,5.99,5.99,6.59,"$2,250",,,
2025,PALISADE,SEL,,,,1.99,1.99,2.99,3.99,0,5.99,5.99,5.99,6.59,"$2,250",,,
2025,PALISADE,XRT,,,,1.99,1.99,2.99,3.99,"$1,000",5.99,5.99,5.99,6.59,"$3,250",,,
2025,PALISADE,Limited,,,,1.99,1.99,2.99,3.99,0,5.99,5.99,5.99,6.59,"$2,250",,,
2025,PALISADE,Calligraphy,,,,1.99,1.99,2.99,3.99,0,5.99,5.99,5.99,6.59,"$2,250",,,
2025,PALISADE,Calligraphy Night,,,,1.99,1.99,2.99,3.99,"$1,500",5.99,5.99,5.99,6.59,"$3,750",,,
2025,KONA ICE,SE,,,,2.99,2.99,3.99,4.49,0,5.99,5.99,5.99,6.59,"$1,000",,,
2025,KONA ICE,SEL,,,,2.99,2.99,3.99,4.49,0,5.99,5.99,5.99,6.59,"$1,000",,,
2025,KONA ICE,N-Line / N-Line S,,,,2.99,2.99,3.99,4.49,$500,5.99,5.99,5.99,6.59,"$1,500",,,
2025,KONA ICE,Limited,,,,2.99,2.99,3.99,4.49,$500,5.99,5.99,5.99,6.59,"$1,500",,,
2025,KONA EV,SE,,,,0.99,0.99,1.49,1.99,,5.99,5.99,5.99,6.59,"$7,500",,,
2026,IONIQ 9,SE AWD,,,,1.99,1.99,1.99,2.99,0,5.99,5.99,5.99,6.59,"$5,000",,,
2026,SONATA ICE,SE,,,,4.99,4.99,4.99,5.49,0,5.99,5.99,5.99,6.59,$500,,,
2026,SONATA HEV,Blue,,,,4.49,4.49,4.49,5.49,0,5.99,5.99,5.99,6.59,$500,,,
2026,KONA ICE,SE,,,,4.49,4.49,4.49,4.99,,5.99,5.99,5.99,6.59,$750,,,
2026,TUCSON ICE,SE FWD,,,,4.49,4.49,4.49,4.99,0,5.99,5.99,5.99,6.59,"$1,000",,,
2026,PALISADE,SEL,,,,4.99,4.99,4.99,5.99,0,5.99,5.99,5.99,6.59,$500,,,
2026,SANTA CRUZ,SE,,,,4.99,4.99,4.99,5.99,0,5.99,5.99,5.99,6.59,$500,,,
2026,SANTA FE ICE,SE FWD,,,,3.99,3.99,3.99,4.99,0,5.99,5.99,5.99,6.59,"$1,000",,,
2026,SANTA FE HEV,SE FWD,,,,3.99,3.99,3.99,4.99,0,5.99,5.99,5.99,6.59,"$1,500",,,
